source_id,target_id,distance
10,61,375.474156
10,62,419.366133
10,63,442.649726
10,64,503.358956
10,65,576.079042
10,66,597.896806
10,67,690.429931
10,68,718.619220
10,69,807.436433
10,70,436.211401
10,71,467.121798
10,72,484.410098
10,73,512.948035
10,74,580.377328
10,75,627.947770
10,76,644.679180
10,77,722.683383
10,78,789.171279
10,79,836.408169
10,80,542.133554
10,81,551.687542
10,82,536.394738
10,83,593.365421
10,84,619.765883
10,85,663.622254
10,86,725.319187
10,87,781.073716
10,88,841.343500
10,89,897.733276
10,90,587.085579
10,91,606.847609
10,92,627.190258
10,93,654.951724
10,94,716.797555
10,95,740.933246
10,96,787.151362
10,97,830.505201
10,98,888.909644
10,99,946.782744
11,12,115.199643
11,13,174.473657
11,14,239.764001
11,15,347.346852
11,16,381.774418
11,17,473.308497
11,18,528.931645
11,19,626.930597
11,20,100.159886
11,21,103.955882
11,22,160.702048
11,23,193.935542
11,24,279.605858
11,25,363.962710
11,26,428.499608
11,27,501.307927
11,28,572.589831
11,29,640.717834
11,30,161.843335
11,31,187.561054
11,32,214.942574
11,33,247.789920
11,34,329.890694
11,35,367.257164
11,36,463.191477
11,37,539.335909
11,38,605.438808
11,39,677.261919
11,40,254.966897
11,41,246.989912
11,42,280.448854
11,43,294.740016
11,44,344.278464
11,45,411.326738
11,46,481.709904
11,47,548.640625
11,48,646.052961
11,49,680.694915
11,50,307.482256
11,51,346.764255
11,52,325.385322
11,53,362.192801
11,54,410.050662
11,55,467.212582
11,56,517.284596
11,57,599.504984
11,58,642.844423
11,59,738.538003
11,60,405.887935
11,61,384.651552
11,62,415.864841
11,63,435.434321
11,64,489.473187
11,65,555.752402
11,66,574.204493
11,67,661.914593
11,68,688.422336
11,69,775.175186
11,70,449.679811
11,71,474.029319
11,72,483.868709
11,73,506.296486
11,74,568.500400
11,75,611.773955
11,76,623.085663
11,77,699.813853
11,78,761.467266
11,79,808.511628
11,80,558.892263
11,81,562.209544
11,82,539.407885
11,83,591.408016
11,84,610.758739
11,85,649.539956
11,86,708.497572
11,87,759.507358
11,88,818.593023
11,89,870.978873
11,90,603.571961
11,91,616.291124
11,92,629.801323
11,93,653.627901
11,94,708.914331
11,95,730.009770
11,96,770.915278
11,97,811.772315
11,98,868.665201
11,99,923.410793
12,13,72.841890
12,14,131.012563
12,15,238.151271
12,16,269.292203
12,17,363.736650
12,18,419.223001
12,19,516.592171
12,20,179.606076
12,21,90.221334
12,22,67.113117
12,23,80.037195
12,24,164.420303
12,25,248.929794
12,26,313.386178
12,27,386.678269
12,28,458.108903
12,29,527.180006
12,30,194.250305
12,31,167.345116
12,32,137.949194
12,33,159.139062
12,34,220.607626
12,35,256.058585
12,36,348.984941
12,37,424.160187
12,38,490.244804
12,39,562.475484
12,40,256.310668
12,41,222.086091
12,42,220.719382
12,43,213.860297
12,44,242.313396
12,45,303.859694
12,46,372.591282
12,47,436.037020
12,48,531.871948
12,49,565.539600
12,50,300.768286
12,51,307.076828
12,52,263.531870
12,53,287.720932
12,54,313.817172
12,55,363.438734
12,56,409.773482
12,57,487.319437
12,58,530.595136
12,59,624.083652
12,60,393.818927
12,61,354.961785
12,62,355.820701
12,63,366.684483
12,64,405.880128
12,65,459.820405
12,66,472.984359
12,67,553.964008
12,68,578.600833
12,69,663.290528
12,70,426.553766
12,71,434.498155
12,72,427.406576
12,73,436.331967
12,74,486.965863
12,75,521.936485
12,76,524.474425
12,77,598.785286
12,78,654.054593
12,79,700.742955
12,80,539.609929
12,81,527.967127
12,82,488.877173
12,83,528.926267
12,84,533.860019
12,85,562.817644
12,86,616.546947
12,87,659.954044
12,88,717.102712
12,89,764.314101
12,90,582.383945
12,91,578.136690
12,92,576.149162
12,93,591.214797
12,94,632.693049
12,95,647.943225
12,96,679.400587
12,97,716.075892
12,98,770.442583
12,99,820.707343
13,14,66.247951
13,15,173.067727
13,16,209.506257
13,17,298.927838
13,18,354.538804
13,19,452.612720
13,20,250.884731
13,21,161.807379
13,22,110.073080
13,23,74.932578
13,24,125.521799
13,25,200.053873
13,26,264.224127
13,27,332.793550
13,28,403.079303
13,29,468.776095
13,30,266.059946
13,31,230.351210
13,32,175.800984
13,33,182.424054
13,34,204.421302
13,35,232.523596
13,36,311.438526
13,37,377.558349
13,38,442.397101
13,39,508.552069
13,40,320.783810
13,41,279.662793
13,42,260.886459
13,43,238.245668
13,44,238.764026
13,45,286.900077
13,46,349.821720
13,47,403.038037
13,48,491.955342
13,49,518.360538
13,50,361.374863
13,51,353.643922
13,52,299.176629
13,53,312.295243
13,54,314.357020
13,55,350.993841
13,56,389.389163
13,57,454.830318
13,58,497.413981
13,59,582.193906
13,60,450.071076
13,61,404.708116
13,62,388.180773
13,63,392.251419
13,64,417.129940
13,65,455.966387
13,66,461.709490
13,67,530.297618
13,68,550.862587
13,69,629.956771
